	11
悲观失望	1
建国门街道	1
查盖	2
４５２亿元	1
西南财经大学	2
李伯勇	1
１６０多年	1
气度不凡	1
１８９２种	1
水肿	1
调节	66
怒气冲冲	1
看涨	1
共话	1
威立队	1
陈智思	1
集市	18
会操	1
王志雷	1
共识	105
百张	1
阿根廷总统府	1
台州市人民检察院	1
经叔平	6
释怀	1
立陶宛	13
废铁	1
成都市公安消防支队	2
狠	15
飒飒	2
肝功能	1
巴伊卡达莫夫	7
艾笑	12
袁吉荣	10
殷介炎	1
环球邮报	1
富丽新村开发区	1
明宣德	1
阿拉斯加州	1
马尼托巴省	2
巴蒂斯图塔	12
６月２５	1
五届	1
森然	1
王振生	1
英特尔	29
五层	2
联销	1
联合国大会会议厅	1
怂	1
顺治九年	1
壹元人民币	1
戏票	1
鸡舍	2
去年９月１５日	1
光山县	1
贵州省煤炭工业厅	1
武士道	1
纤尘不染	1
扫描仪	6
欧洲联盟委员会	2
薄一波	2
国葬	1
１５天	5
缩编	2
信托银行	2
一两千块	1
国务院侨办党组	1
用光	1
基因工程	8
一己私利	2
哈尔滨市建设银行工大支行	1
整齐划一	2
自强不息	18
文化广场	1
百分之二十四	1
杰西	1
由衷之言	1
希尔	5
计算	106
威尔莫特	6
１９３８年７月	2
经久不息	2
寨河乡党委	1
莫里斯烟草公司	1
１７６亿元	1
疏漏	4
吉祥寺	1
中共延安市委	1
区电影院	1
武汉水利电力大学	1
工作餐	1
诅咒	2
冰峰	3
效应	67
十五日	2
青岛普乐斯纸制品有限公司	2
北京路	1
国家内贸局	1
机灵	3
三十年五月	1
路网	5
孟关	1
１０月１７日	2
运城天马文化用纸厂	1
北京市出租汽车管理局	4
威海市	1
挑逗	1
查看	19
区域经济发展领导小组	1
薛云蒿	2
北京大学艺术学系	1
临猗县卓里机械厂	1
中共中央南方局	2
２７０９５比利时法郎	1
压抑	6
王志青	1
赴	195
宗山	3
明察	1
穿过	34
菲利奇	2
百分之五十	8
卢秋田	1
印尼女队	43
山东宝泉集团罗蒙轻工化学厂	1
羊蹄甲花	1
１０部	2
额外	14
冰窖	1
水柜	2
透雨	2
劳资政委员会	1
依此类推	1
百年	132
２１００平方米	1
唏	2
下午５时４０分	1
墓室	5
难闻	2
１０００条	1
３３个	14
苏州大学	1
厄瓜多尔军事航空运输公司	1
中科院青海盐湖研究所	1
额头	8
李志夫	1
空中客车	7
筹委会	99
凯措	2
汗珠	4
河南豫港	1
耶鲁大学公共卫生学院	1
９７０	1
７３日元	1
宁可	17
韦尔	2
梦见	1
福建七匹狼公司	1
３日	47
看法	105
浑圆	1
大意	6
外空	5
一九九八年三季度	1
百幅	1
马哈茂德	5
权	261
阿拉伯之声	1
２０家	11
钟建设	1
迈	68
东北局	1
群众运动	2
奥拉西奥	1
挑选	39
李桂莲	1
筹建	40
版式	2
重音	1
不防	2
靡费	1
殉国	4
第二十二届万国邮政联盟	1
娇娘	1
卡拉索	4
１７００多公里	3
青春	86
６６颗	1
上千吨	2
故作	2
阿肯色州童子军	1
四岁	3
佩尔松	3
有的是	3
奥沃纳	1
朱明国	2
酥油	2
铺	64
革命乐观主义	1
乱闯	3
隐讳	2
革命化	6
中青年	42
组办	1
通篇	1
英国队	4
十二	2
惨淡经营	3
身体	145
周末	36
卑劣	3
２	933
４０着	1
十五	6
皮下组织	1
巩义市	3
看死	1
贺电	20
跋山涉水	6
明年度	1
局子	1
河北区委	1
周期	27
正常化	26
李德民	1
东南大学	3
附属物	1
百姓	116
经济作物	8
筹备	69
五百余亩	1
李绍文	1
２０层	1
左轮	1
其他	761
丝绸之路	12
第九届全国人大财经委员会	1
１欧元	3
仪态	2
十亿	4
虎威	2
穷苦	4
迎刃而解	6
踌躇满志	3
法玛西亚有限公司	2
１５年	43
阿布贾	7
１９９８年下半年	5
最先	20
一九九六年八月	1
拔地	1
指标	165
书信	16
拉腊基	2
１５幢	2
白条	3
上海音乐厅	1
两个月	71
区纪委	3
保	195
白杨	6
安分	3
分类排队	1
西安旧货交易中心	1
庄园	7
球报	2
真相	18
海南军区	2
１９９６年１２月２１日	1
十六个百分点	1
其二	24
背叛	3
深信	19
报晓	1
十件	2
舒城	1
犯困	1
台州电业局党委	2
厉行	3
３０亿美元	15
十一	2
十七	2
登高	4
政府间海事协商组织	1
抄	17
十万	6
十三	2
农畜	4
明线	1
１９９７年１２月１２日	1
３１亿元	1
矿泉	1
盈盈	3
二十几个	2
宣武区	1
县公证处	4
没收	45
孙鲁毅	1
一千七百万美元	1
祖业	3
百余户	1
打火	1
新桥村	1
中国武术协会	6
李士祥	1
俄亥俄州	6
不配	3
天源	1
印华平	1
十个	21
周林	1
５０万人次	1
３９和４４微米	1
钱红	2
统治者	9
中央电视台动画城栏目	1
阿克拉平原	1
可亲可敬	1
叙述	40
樊新河	1
中尼公路	1
连理枝	1
禾	3
１２月１１日	2
张金柱	3
滔滔不绝	5
红星乡	2
社科版	1
团圆	6
百头	1
其中	1130
３亿雷亚尔	1
取经	10
舒坦	6
新城办事处	1
莫里纳哨所	1
艾素	1
板车	3
０２个	1
一视同仁	11
其一	26
弗朗斯潘塞	1
漳州体训基地	2
针头线脑	5
中国银行卢森堡分行	2
农田	64
磨	31
新世界股份有限公司	1
中国国家男篮	1
２月３日	1
宽大	6
盐锅峡	1
没救	2
农光里危改小区	1
香港肉类商会	1
穿行	13
魏国	1
化学战	1
崔马镇供销社	1
七月二十二日	3
农用	29
４００万年	1
贷款	810
马卡斯	1
深井	2
北京创联通讯网络有限公司	1
五家	4
白昼	2
樊	1
保存	72
安南	88
卢安	1
至上	4
取缔	55
七十名	3
１９亿元	3
共谋	1
马尔科维奇	1
数百笔	1
李亚珍	1
活化石	1
脸颊	4
外交部礼宾司	1
十四席	1
安危	7
人事厅	1
成法	1
本	1134
１４１万	1
１９２６年３月	1
４８０亿美元	3
３月２７日	1
泸州	1
１７３０亿美元	1
左边	2
北京天体物理中心	1
圣埃蒂安	5
陕西省美术家协会	1
宿营地	1
道场	2
三井信托	2
宿	8
贝加尔湖	1
守恒定律	1
三四十元	1
深涧	4
日本国会众议院	1
汉奸	3
２５铢	1
身上	170
２５万美元	1
锦州石化	1
唐家会村	1
趵突泉	1
撩拨	1
一九四八年五月	1
身世	4
公安县农牧局	1
醛	1
一技之长	8
剧本	34
福州市外商投资企业协会	1
音高	1
塞尔芬银行	1
崔世昌	2
中环	1
中国排球协会	2
上海证券交易所	2
景德镇陶瓷学院	1
聋哑人	1
闯入	19
高密市	1
党永富	10
孤芳自赏	1
一亿埃镑	2
２０００余篇	1
连衣裙	1
谢朝华律师事务所	1
四局	3
三力集团	1
树龄	2
世家	12
９８３	1
债权国	5
真知	3
闯关	2
桑榆	1
十四年	5
赵国钧	1
舅	2
日臻	4
前后文	1
凯文	1
新三星啤酒厂	1
外籍	44
多元	22
形式多样	16
肃静	1
保密	15
至于	86
丹麦女队	13
山一证券信息公司	1
１０秒９５	1
纸箱	3
服役	14
舒曼广场	2
３月１３日	2
祖传	6
趋缓	1
不遇	5
东京雇用促进中心	1
东河南镇	1
楠竹	1
２亿多瓶	1
互动	11
深为	15
德国国家银行	1
２３２２起	1
教化立交桥	1
１８席	2
扩张主义	3
身价	9
廊坊市委	1
进来	39
中国西部环境与发展信息网	2
其余	111
发亮	3
大有	38
空当	5
初试	1
莫斯科大学	2
播音	2
凯旋	4
邵阳市	1
几岁	3
甘道明	1
井架	1
十位	1
煤科院建井所冻结室	1
红五军	13
保定	10
至今	277
二百三十元	1
消费	521
副热带	2
４６个	7
一个箭步	1
粗话	2
保安	31
葛丽亚	1
丁志忠	2
律政司	3
身亡	12
南京中医药大学制药厂	1
体育馆	18
４９０９	1
地矿部	1
不适	13
重重	25
重量	25
程安东	1
髓	1
襄阳	6
十佳	44
帕嘎	1
重金	6
西山煤电集团公司关帝矿综采二队	1
起跳	1
４６万	1
省政法委	1
列席	8
徐文彦	1
郑红深	1
两广工作队	1
路程	13
２０年	164
喝西北风	1
８８２个	1
１１２９１２千公顷	1
南康市	1
气	171
忍无可忍	3
猎	9
准确性	7
英国皇家海军	2
社会周刊	4
东张西望	3
日本宇宙开发事业团	1
金融市场	175
子宫	13
黄河营村	1
机电	22
乔东方	11
崇文门	1
特区政府首届立法会	1
拖欠	59
郑振瑶	1
富丽	3
九曲溪	1
巢县港	1
丽江	1
中国社会科学院外国文学所	1
山东艺术学院	1
天气	116
辞海	1
辱	10
１５０至１６０日元	1
商业部	2
智育	2
陈小胖	1
爸	15
问长问短	1
景况	5
爱丁堡基因图谱研究中心	1
不拘	1
加里娅莫娃	1
４公里	10
北京利生队	2
陕西省	47
衣领	1
天汽	1
转眼间	6
意见书	2
廉泰俊	1
香港妇协	3
北京散打队	1
魏世成	1
百家	17
悲痛	15
镰刀	9
纽约	171
万名盈	1
铁路东站	3
金针	1
１９９７年５月２３日	1
开学	18
７３０吨	1
寿衣	2
１９６１年７月	1
初衷	14
凯鑫粮油批发市场	1
宝石	8
工科	6
平井润一	1
多加	1
二百多个	1
惯	11
一岁零五个月	1
保堤	1
１５层	1
笤帚	2
居住区	7
吉萨省南区警察局	1
海峡时报	1
８０亿欧元	1
太白	4
上确村	1
总医院党委	1
灵慧	2
钻劲	1
安塔拉	1
始信峰	1
天河	1
笔记本	11
１９９４年１０月２４日	1
厂部	2
一百多次	1
区人大常委会	1
理当	2
英国经济学家情报社	1
出版物	91
真理	152
古琴	1
浮夸风	1
亘古未有	1
董寅初	3
１０间	1
赵仁平	1
３７点	3
医疗队员	1
通票	2
莫内	2
三十日	1
唯物史观	13
５亿雷亚尔	1
品味	20
上梁	1
１５岁	20
妹子	7
免战牌	1
依次	33
曲波	1
足球场	18
乐呵呵	3
戊寅年五月十七	1
平素	4
崽	6
闯劲	4
抱残守缺	2
园区	14
柿泽	3
愕然	2
职安所	1
开篇	2
汇	54
进项	5
中宣部文艺局	3
临界点	1
太极拳	6
一百个小时	1
槌	4
白日	2
中国人民银行代表团	1
风波	71
隐私权	1
普兰特	1
彼岸	21
２０座	1
广州卓之宝贸易有限公司	1
７万余份	1
具本茂	1
柬埔寨	104
明年	60
冰冻三尺	2
揣度	1
周日	5
医院监察科	1
博格坎普	8
１９９７年１１月２４日	1
多利	39
庄周	1
１９９４年３月３１日	1
３８１亿日元	1
北京电视台体育部	1
神器	1
周旋	8
满分	3
征稿	9
１４９家	1
农学院	1
英国阿森纳队	1
白族	1
港英立法局	2
纽约股票交易所	2
马普马兰加省	1
人民币	118
决赛	289
６００多份	1
搂	11
山东抗日根据地	1
元寿元年	1
黑云压城城欲摧	1
便道	1
嫖	1
俄罗斯使馆	1
大方	15
国家经贸委信息中心	1
上千盆	1
大鹏湾	1
多变	13
北京玉渊潭医院	1
斗	22
巨富	1
鲢鱼	4
１万多种	1
天津	183
今年１至６月份	2
最初	59
曹伯纯	1
个人利益	5
隔膜	2
四十五分钟	1
供电	41
李静	2
今年三月	2
机理	11
浑厚	6
前卫寰岛队	11
一文不值	1
安全	712
穷过渡	1
无可非议	1
指正	1
椴	2
喷	27
绳索	3
移师	2
折价	10
误区	21
十四届	8
日本荣吉株式会社	1
优选	3
吃大锅饭	4
近年	49
大旱	5
朱恩涛	1
天山西路	2
万嗣铨	1
调节器	1
４００多万美元	1
布里塞尼奥	1
大城县	2
１９２０年２月	1
悍然	1
２２００份	1
奔	53
盛志勇	1
晖	1
联邦	64
流水线	8
伊斯兰堡机场	1
杨士乡	1
纽约联邦储备银行	3
煤灰	2
丁坚铭	1
穆瓦松	2
十几条	2
嫩	11
二十余种	1
即时	10
小调	4
斯卡尔法罗	35
职业学校	3
庙会	9
刀具	3
６００多公斤	1
第八届全国人民代表大会常务委员会	1
翻	93
棋盘	4
华西型钢厂	1
即日	9
明志	3
集子	7
朝鲜半岛能源开发组织	1
煤炭	56
银鱼	2
兀	1
从善如流	1
北京大学百年校庆筹委会办公室	1
十四岁	4
邬庙村村委会	1
开窍	4
３至５年	4
周而复	2
保姆	8
天涯	7
五天	6
大包大揽	3
２万种	2
若无其事	2
大实话	1
腾冲一中	1
逃匿	1
蓄水量	7
１２２万	1
５２９亿美元	1
麦	65
天津经济技术开发区	1
中国驻墨西哥大使馆	1
躬身	3
脯	1
４０００多米	4
３０００万美元	5
二百七十万美元	1
舒同	28
姊妹节	2
五处	1
神圣	59
补救	3
三里长街	1
第十九位	1
怀柔县	2
茅塞顿开	3
美国中文电视台	1
数百种	2
江苏众想集团	1
北京西	1
简言之	5
收割机	27
资产负债比管理委员会	1
彭一刚	1
学习机	1
波顿	1
３７０亩	1
初见	4
血书	1
１９９３年１月１日	1
察哈尔运输公司	1
蛰伏	2
上海音乐学院	4
陡	20
释放	43
上海大场自来水厂	1
联通	2
壶关县民政局	1
３７００多名	1
进攻	126
二百一十多公里	1
７７周年	4
好意	3
９００公斤	2
开端	17
冒进	2
中保财险广西分公司	1
煤烟	7
顺道儿	1
泰兴市妇联	1
棒球	9
郑州拖拉机厂	1
百威	2
３００万平方米	1
本世纪末	25
根底	7
中央对外宣传小组	1
６５万元	1
８６０亿美元	2
木世俊	1
剪纸	8
青岛海信电器公司	1
看来	159
朝阳区安迪赛车俱乐部	1
１９９６年１２月３０日	2
闯将	3
铿锵	9
十二日	8
夜大	1
贺礼	2
日本环境厅	1
民进中央	4
当中	58
封建礼教	2
晚清	3
阎仲儒	1
１至１０号	1
董德元	3
优先股	1
新乡市委	1
黑沉沉	1
包装纸	1
登记表	7
通知	360
解放军总后勤部青藏兵站部	1
学名	1
供稿	3
激光器	1
仁凤镇	3
肖平	2
日本日中友好协会	1
见义勇为	19
翻场	1
侮辱	5
富春江	3
阐明	42
座谈	66
黄壁庄	1
忠信	1
服务	1527
广东人民出版社	2
分期付款	13
南桐矿务局中心小学	1
李泽富	1
压榨	1
僧人	6
备战	28
中国奥胜篮球队	1
兰考	1
人民日报群工部	2
同居	13
演播室	3
哈雷彗星	2
课外作业	1
一万平方米	1
吝啬	2
几百户	1
镇海寺	4
福琼	1
颠覆	1
五四	46
笑料	1
阿列塔	2
货运	23
认领	3
依旧	30
天才	16
看望	57
引领	4
蒙妮莎服装公司	1
７７６６	1
呈报	3
无形	41
莲花北路	1
近况	8
１９９９年１２月２０日	13
三四十岁	1
献技	1
临西县粮食局	1
萨尔玛	1
梨树	5
五十年代末	3
１１１公里	1
花椒	2
１５００万份	2
胡建学	1
１９２６	1
拖斗	1
陈道福	2
应春	1
胡启立	1
朱淑真	1
香港马会	1
日本自治体国际化协会北京事务所	1
空前	59
５６７万亩	1
中国石化集团公司	4
松辽平原	1
人行横道	2
阻塞	7
古稀	11
菌类	2
当事	7
中青企协	1
王辟之	1
奴隶社会	2
石家庄铁道学院	1
精耕细作	2
江津	1
亚马孙	58
一部分	198
疾	19
１５００万亩	1
制造商	30
泥坑	1
遒劲	5
２０００年１２月	1
易佑德	1
俄罗斯边防部队	1
曲折	43
河北农业大学	2
应景	1
舒城县	2
墨市公安局	1
当代	242
１０００万公顷	1
达瓦纳吉难民营	1
晚上５时	1
多少	260
姚福生	1
１９８５年底	1
横生	1
凌晨６时	1
真空	8
尼日利亚队	29
三桥村	8
昆特	1
我国驻法使馆	1
倒车	3
６万册	1
物化	14
余世贤	1
当今	152
三十七台	1
服刑	7
二十七	3
版税	1
吊车	1
在野党	17
盲动	2
１５４	2
外引	2
开球	2
湖北省委政研室	1
北京市律师协会劳动法专业委员会	1
１２０４年	1
虚构	9
馋	4
方庄体育公园	1
最小	36
指教	1
加藤一	5
倒转	1
最少	19
通盘	1
狂胜	3
车头	4
业	454
迈达尼	5
不久前	123
僧俗	1
张志勇	1
观赏鱼	2
河南国际人文科学研究交流中心	1
指数	132
女足	10
统考	6
阔气	4
忠于	30
７０多万	1
侯	11
奥运村	6
拍案而起	3
财政所	1
２０元	20
９４００亩	1
荧屏	25
拟古	2
和平街	1
技术科	1
脏腑	2
统一电力系统	1
幻想	14
杨景宇	2
木船	2
日本经济企划厅	6
邯钢集团	2
泽国	2
外劳	1
邓安生	1
１４９名	1
宁夏	35
伊拉克	170
兴澄公司	7
８０余元	1
下功夫	77
本周五	2
僧侣	4
淮海战役纪念塔	1
渡江战役	2
４２班	1
穷追	1
华韵群芳	1
国家经贸委中小企业对外合作协调办公室	1
华盛顿邮报	9
摞	9
广州军区公安军	1
物力	31
一元钱	5
市政大厅	1
于均波	1
当作	45
明净	5
本人	106
１９２２年５月	1
斯沃博德内发射场	1
市公交总公司	1
欧洲安全和合作会议	1
法国南锡国家芭蕾舞团	3
岂	5
五城	1
文稿	6
意大利佛罗伦萨节日歌剧院	2
关闭	61
李亚群	2
宽度	3
最高峰	11
母爱	14
俾	1
丹东市公安局	2
郑喜春	1
懒腰	1
菜子油	1
１１５２５个	1
９０年代初期和中期	1
北京市第一中级人民法院	9
大款	9
特命全权大使	13
新疆监狱	2
保育院	5
张慧剑	1
胳膊	16
唐咏梅	1
医书	2
萨拉姆	1
遁世	2
普桑	1
安心	16
九月十八日	1
微词	2
施特劳斯	3
六十名	1
袁晓岑	1
留学基金委	4
人民党	27
剧毒	6
刑侦处	4
调解	57
美好心愿	1
太祖	3
冰点	10
神头	1
１９０２年	1
第９２分钟	1
宜	29
海南省人大常委会	2
北京展览馆剧场	2
奇贝萨昆达	1
劳斯莱斯生产基地	1
关键	466
进步	391
应有	120
尹	19
三千四百五十六米	1
１２００套	1
９亿股	1
破灭	11
１９２８年４月下旬	2
１５台	1
传播学	1
定点	32
公共汽车站	1
１５号	5
本周一	1
马逢国	1
思考题	1
明永冰川	2
水处理	11
六月三日	4
百吨	1
情韵	1
大步	20
２５项	1
镇卫生院	1
夏禹	2
春	62
压根	3
１５只	1
弯弓	1
祥瑞	2
庄子	3
神奇	51
弯弯	3
消费品	46
不失时机	10
计生委	1
安徽	76
卡马拉	1
７２亿元	2
不备	2
忠义	3
巴伦西亚	1
百合	3
糊里糊涂	1
古筝	4
李士琴	1
百名	18
空门	3
呕心沥血	8
漆器	5
胜景	7
刘宝华	1
青岛海牛队	14
玉田镇派出所	1
维修部	1
结论	75
仓容	10
关隘	2
马尔廷	2
卓科达	7
３３３兆赫兹	1
通病	7
生活关	1
秦陵	2
缎	1
遒健	1
岳麓书社	1
出息	3
刀尖	1
汇市	47
铁锅	1
抛	43
国务院发展研究中心企业部	1
安居	24
天性	10
１００３名	1
科沙拉村	1
巴尔特	2
特派员	14
５９４	1
五千九百八十六点五万元	2
民政局	5
保命	4
第四节	2
销售	523
毛遂自荐	1
莱	15
淋漓尽致	7
集团	304
１９９亿吨	1
广东省人大	1
第二十三届	1
７０００名	4
酞	1
１５倍	1
６００多所	1
二十一世纪	53
和缓	1
贾鲁河	1
省农科院	1
冯志明	1
机票	9
江海晚报	1
奥地利队	20
１０６５毫米	1
意大利比萨大学	1
黑龙江省委	2
中国驻柬埔寨大使馆	1
宿迁市中级人民法院	1
相距	19
惊天动地	4
痕	10
结语	1
网球手	1
指明	20
苛	1
蚌埠天河果酒厂	1
科技馆	1
分散相	1
寒暑	2
北京嘉华文化艺术有限公司	1
３９	32
３８	23
工	165
大棒	2
中国技术市场交易网	2
缓缓	22
３２	109
３１	100
３０	264
３７	51
３６	67
３５	74
３４	90
３０万公里	2
胜芳镇	2
阅览室	13
第三十四届	10
墨尔本市	1
２０分	5
１０类	1
隐藏	14
每秒２５米	1
搔首弄姿	1
大样	1
七	56
恕	6
望天岭	1
决胜	8
通畅	8
英格兰银行	11
伊斯兰堡	5
盛赞	3
九十周年	4
隐蔽	7
鸦片战争	5
饕餮	2
大校	7
支取	10
９种	3
不齿	1
英国皇家空军	1
聚光	1
１９９５年上半年	1
大树	15
猛攻	9
招商银行北京分行	2
永安大堤	1
１１９３	1
世界农园	1
公办民助	1
兰世章	2
６５万台	1
五名	6
明初	4
多年	200
３５毫米	1
斯特帕诺娃	1
美国加州大学	1
贩假	2
打防并举	2
磁铁	20
百场	2
１３００多万只	1
脸面	3
汴梁宫人	3
菌	17
吃力	6
炒汇	1
大桥	32
琢	1
野翅膀	2
５００多亿美元	1
２００页	1
２３２个	3
冠罗尼	4
２００项	1
归侨	4
雷达监控站	1
８９微微克	1
章	37
兰花	5
今年前５个月	3
国际和平基金会联合会咨询委员会	2
杭州市民革市委	2
６８个	2
人事局	2
吉林省长春市人民检察院技术处	1
最高司令部	1
布面	1
２３２万	1
加海关	2
打倒	4
河南安阳机床厂	1
自由自在	11
雨石	1
开矿	2
忘却	6
大案	15
较	282
美国杜邦公司	2
黄公略	16
战车	2
憔悴	1
４月末	2
年关	3
举国上下	3
１０项	11
棋盘坨	2
中央组织部	14
雨季	32
百团	1
南阳普康集团化学制药厂	1
王友忠	1
１０页	1
蔚然成风	11
１６００平方米	2
１９９８年６月２９日	1
１９１０年	1
１９９６年１２月１８日	2
七月一日	2
麦克法兰	2
去年５月１日	1
一连串	7
长话短说	1
恒万公司	1
火塞环	1
统计员	1
１１时半	1
１１秒３９	1
明石跨海大桥	1
谲	1
大概	46
杭州市劳动局	2
公元８８４年	1
壁画	26
歌乐山烈士陵园	1
１８７３年	1
咱们	29
１１秒３７	1
梳理	10
无人问津	8
８５０多个	1
凯歌	4
蘑菇	28
斯科茨布拉夫市	1
应时	2
仰头	1
指望	16
密切相关	22
九届全国人大	20
２７２辆	1
一九七九年	1
白桦	8
冰片	2
仙	22
下月１２日	1
临时非常委员会	2
二十四集	1
张韧	1
大雪纷飞	1
南山堡村	1
毫	1
打工子弟小学	1
企求	4
８０万元	5
龙山县新城小学	1
１５元	7
麻将	8
空军	38
卡多佐	9
重金属	11
三五角	1
伊马纳利耶夫	1
２万多公斤	2
希特勒	10
３０５名	1
１６０多场	1
包润石	1
夏圭	1
中国记协	4
浙江衢县农行	1
澳体育与旅游部	2
工作量	13
唐家璇	109
第４２分钟	1
移动	44
只不过	25
调试	9
赵秀君	1
２０发	1
助战	1
遮遮掩掩	1
海星	1
多彩	17
曼西利亚	1
左膀右臂	3
浆洗	2
贯	12
８０００多锭	1
史秀英	1
乌盟后山	1
中国人民大学法学院	1
１６９００５册	1
单行本	3
举人	1
新墨西哥州	1
百分之十二	3
哥伦比亚广播公司	2
望都县纪委	1
安徽省合肥化肥厂	1
滕代远	16
二百至三百名	1
长安街	8
普瓦任斯基	1
武警汕头支队	2
大楼	66
零点市场调查与分析公司	1
环节	128
八一工商银行队	1
昂船洲海军基地	2
来鸿	1
校华乐团	1
１９９８年６月１３日	1
１９９５年７月	7
思绪万千	3
５００多万美元	1
开盘	6
２０万美元	1
八九十年代	1
按理	6
物候	1
宇文	1
靠山吃山	1
１６０多块	1
苏区	3
第六届	19
德国国防部	4
国际航空货运协会	2
 汕头市新星乳业有限公司	1
１９８９年	46
下棋	2
助手	26
拖曳	1
２９８元	1
归于	6
国家石油和化学工业局	2
１０颗	2
挑大梁	5
百出	5
劣质	17
婚事	12
北京连珠五子棋文化体育交流中心	1
分分秒秒	1
北京天桥	2
钢轨	1
华东师范大学地理系	1
空军总参谋部	1
大概其	1
无悔无怨	1
后人	32
夜总会	2
越野车	2
山东艺专	1
全身黄	1
最多	129
管窥	1
机场售票处	1
五届全国人大常委会	1
１４时３０分	2
嗷嗷叫	1
二三十	2
碣	1
后事	3
最大	669
７０多种	3
虚报	36
易拉罐	2
金华县交警大队	1
顶芽	1
云南省世博会筹备指挥部	1
８对	1
机缘	1
协会	79
天明	3
达丰棉纺厂	1
不行驶	1
西大山	1
蓬街镇	1
上皮组织	2
大中型	71
门德斯	1
范仲淹	6
瑞典皇家音乐学院	1
安娜	5
习题	1
调调	2
慧眼	4
一季度	11
天晴	2
休戚相关	1
真经	2
呐	6
五十米	1
后任	2
蔡葵	2
华丽	6
绥芬河	1
１９９１年底	4
建行江西分行	1
凸现	12
调谐	1
十四块	1
撒种	1
孙广艺	1
路灯	3
南禅寺大殿	1
纸牌	4
艺能	1
凿子	1
中国龙舟协会	1
纸片	5
雾化	1
内蒙古电力学院教学主楼	1
断垣残壁	1
第一至五次	1
协作	53
华东	16
杨长木	5
绷	7
舒心	9
玉门关	2
３０００年	1
２０名	15
贝拉米	2
熟透	2
最好	157
１８５６年	2
楹	5
助攻	8
三价铬	4
数十万人次	1
可不可以	2
董明珠	26
外界	35
各地区	58
野贞子	1
锑	1
运动会	130
鲤鱼	12
炎黄子孙	5
舒张	2
燃气轮机	1
清流县	1
阎维文	3
吕国庆	1
贴切	5
４００余起	1
广东佛山分公司	1
联合国开发计划署	12
自大	1
漠视	7
入境事务处	1
应战	8
革命家	36
朋友	270
顺德	2
叛国	5
本位主义	2
二十一台	1
马来西亚队	12
四川北路	1
５６１亿元人民币	1
百元	4
９０年代初	24
英国爱丁堡大学	1
后世	4
浮来山	1
５３万	1
夏粮	23
中国有色金属建设股份公司	1
头一件	1
冒牌货	2
对面	18
东北虎	12
１６次	4
健美	7
看样子	2
华人	62
１９８８年３月８日	1
１００８０只	1
４２００多公里	1
棘	4
如飞	1
农历三月十三至十四	1
高能所	1
火山岩	1
中央组织部办公厅	1
１２０６３	1
外甥	1
香港海关	1
２０亿玻利瓦尔	1
外用	9
过得硬	5
５３个	5
蓝钦文	1
梁秀珍	1
鹰潭站派出所	1
外电	17
５６２５	1
华云	8
零星	12
董宏君	2
笑意	1
辩证唯物主义	13
周游	2
天机	1
偶然	49
三十八个	2
平安队	3
九连	1
穆勒亚姆	1
千场	1
王佛松	1
１３７３亿美元	1
吗啡	1
李富荣	10
广西总队医院外二科	1
充耳不闻	2
王希玲	2
赫梅利尼茨基	2
清乡委员会	1
透顶	2
爱尔兰议会代表团	1
柞水县水电公司	3
普法	27
６５００万美元	1
北隆达省	4
跨越	34
中办	1
山林	19
软骨	13
护短	2
姑娘	83
包装箱	1
百分之四十一点七	1
小不点儿	1
安康	6
多姿	9
４０７万吨	1
林京子	1
筹借	1
铜陵市云事达烫洗总店	1
工作面	1
５６亿元人民币	1
西藏民族艺术研究所	1
虚掷	1
眼	226
县	706
华佗	2
１１秒２１	1
衍生物	2
高水平	38
蓄谋	2
神州	22
社长	44
五号	2
２０００多亿港币	1
臭老九	1
１３５６	2
五台	8
天南地北	2
办理清室善后委员会	1
刀子	4
吉德里	5
一百六十四名	1
一至两个	1
盛誉	1
白色恐怖	2
言行一致	2
石蜡	1
意大利维琴查队	1
美国第一银行	1
违法行为	27
１４６亿美元	1
许国连	1
歧途	5
广州松日	6
张洁清	1
２０７名	1
刚柔相济	4
交通局	2
６５万吨	1
魏根深	1
标准化	24
转	784
可靠	69
厂工会	3
厄普顿	4
看成	31
没法	16
聊天	15
日本三菱重工	1
四十六亩	1
苏维埃国共产党	1
一丝不苟	16
奥地利外交部	4
武汉司法学校	1
劣迹	1
研墨	1
池良	2
１７００万	2
国家元首理事会	1
百余次	1
窍门	2
北京大学团委	1
王长泉	1
日本帝国资料库	1
欧安组织	9
卡纳斯	2
筹委会政务小组	1
江原道	3
大漠	10
潘祖言	6
七十岁	3
不顾	79
对阵	25
前４局	1
通牒	1
高桥镇党委	1
透风	2
科布多省	1
４８个小时	1
伙食费	1
杜文远	1
１６６票	1
武装部	2
工作制度	5
俄国家杜马	8
大漆	1
赵智凤	3
北京军区汽车技工大队	1
凡夫俗子	1
销势	1
计生	12
煤窑	10
华侨	62
第十七条	4
安定	40
深信不疑	3
看报	11
看护	5
中国科学院海洋研究所	1
五卷	4
天涯海角	2
农民群体指导站暨农民体育公园	1
行色匆匆	2
出版社	57
密码	9
丹尼尔	4
德维尔纳尔迪	1
呱呱叫	1
吃喝	39
１８０多万	1
安宁	20
大潮	39
机务段	1
空地	15
雅号	4
依恋	8
八一队	26
大中国区	1
解放军工商银行男队	2
４０００万个	1
平白	2
机组	69
木卫３	1
查禁	5
侧重点	6
店铺	11
五华	1
南京江海集团江苏６２７轮１３船队	1
黄万英	1
希勒	4
